,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
77,1,2017-11-08 11:07:48,1ABCD,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
78,2,2017-11-08 11:14:20,1ABCD,0.0,0.25,0.0,1.0,1.0,0.0,0.8048780487804879,0.875,0.42857142857142855,0.32432432432432434
79,3,2017-11-08 11:20:44,1ABCD,0.0,0.0,1.0,1.0,1.0,0.75,0.12195121951219512,0.0,0.0,0.4594594594594595
80,4,2017-11-08 11:25:22,1ABCD,0.0,0.0,1.0,1.0,0.25,0.75,0.1951219512195122,0.0,0.08571428571428572,0.08108108108108109
81,5,2017-11-08 11:30:12,1ABCD,0.0,0.0,1.0,1.0,0.5,0.5,0.29268292682926833,0.25,0.08571428571428572,0.02702702702702703
82,6,2017-11-08 11:35:11,1ABCD,0.0,0.0,1.0,1.0,1.0,0.5,0.4634146341463415,0.25,0.14285714285714285,0.0
83,7,2017-11-08 11:40:09,1ABCD,0.0,0.0,1.0,1.0,1.0,0.25,0.41463414634146345,0.0,0.39999999999999997,0.35135135135135137
84,8,2017-11-08 11:45:31,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0.1951219512195122,0.0,0.0,0.2702702702702703
85,9,2017-11-08 11:50:27,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0.1951219512195122,0.0,0.0,0.0
86,10,2017-11-08 11:55:16,1ABCD,0.0,0.0,1.0,0.75,1.0,1.0,0.1951219512195122,0.0,0.0,0.0
87,11,2017-11-08 12:50:08,2ABCD,0.0,0.25,1.0,0.75,1.0,0.5,0.0,0.0,0.0,0.0
88,12,2017-11-08 13:05:12,2ABCD,0.0,0.0,1.0,1.0,0.0,1.0,0.36585365853658536,0.875,1.0,1.0
89,13,2017-11-08 13:10:20,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.17142857142857143,0.5945945945945946
90,14,2017-11-08 13:15:22,2ABCD,0.0,0.0,1.0,1.0,0.5,0.75,0.2682926829268293,0.0,0.2571428571428571,0.4864864864864865
91,15,2017-11-08 13:20:22,2ABCD,0.0,0.0,1.0,1.0,0.5,1.0,0.17073170731707318,0.125,0.0,0.0
92,16,2017-11-08 13:25:49,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0.04878048780487805,0.0,0.0,0.0
93,17,2017-11-08 13:30:14,2ABCD,0.0,0.0,1.0,1.0,1.0,0.75,0.2682926829268293,0.0,0.02857142857142857,0.0
94,18,2017-11-08 13:35:10,2ABCD,0.0,0.0,1.0,1.0,1.0,0.75,0.3170731707317073,0.0,0.0,0.0
95,19,2017-11-08 13:40:10,2ABCD,0.0,0.0,1.0,1.0,0.0,0.75,0.6829268292682927,0.25,0.02857142857142857,0.0
96,20,2017-11-08 13:45:05,2ABCD,0.0,0.0,1.0,1.0,0.0,1.0,0.04878048780487805,0.0,0.0,0.0
97,21,2017-11-08 11:58:53,3ABCDE,0.0,0.0,1.0,1.0,0.6,0.2,0.0,0.0,0.0,0.0
98,22,2017-11-08 12:15:10,3ABCDE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.32432432432432434
99,23,2017-11-08 12:20:03,3ABCDE,0.0,0.0,1.0,1.0,0.8,0.2,0.0975609756097561,0.0,0.02857142857142857,0.35135135135135137
100,24,2017-11-08 12:25:02,3ABCDE,0.0,0.0,1.0,1.0,0.4,0.0,0.24390243902439024,0.0,0.08571428571428572,0.16216216216216217
101,25,2017-11-08 12:30:01,3ABCDE,0.0,0.0,1.0,0.4,1.0,0.2,0.2682926829268293,0.125,0.0,0.0
102,26,2017-11-08 12:35:06,3ABCDE,0.0,0.2,1.0,1.0,0.4,0.2,0.41463414634146345,0.0,0.11428571428571428,0.02702702702702703
103,27,2017-11-08 12:39:48,3ABCDE,0.0,0.4,1.0,0.8,0.6,0.2,0.41463414634146345,0.0,0.0,0.0
104,28,2017-11-08 12:44:18,3ABCDE,0.0,0.0,1.0,1.0,0.4,0.2,0.3170731707317073,0.0,0.0,0.0
105,29,2017-11-08 12:45:57,3ABCDE,0.0,0.2,1.0,0.4,0.4,0.0,0.24390243902439024,0.0,0.0,0.0
106,30,2017-11-08 12:49:32,3ABCDE,0.0,0.2,1.0,0.6,1.0,0.0,0.0975609756097561,0.0,0.0,0.0
107,31,2017-11-08 12:54:52,3ABCDE,0.0,0.0,1.0,0.8,0.8,0.4,0.04878048780487805,0.0,0.0,0.0
108,32,2017-11-08 12:58:17,3ABCDE,0.0,0.0,1.0,0.8,0.4,0.0,0.2682926829268293,0.0,0.0,0.0
109,33,2017-11-08 10:18:09,4ABCDE,0.0,0.0,0.0,1.0,0.0,0.0,0.7804878048780488,0.25,0.02857142857142857,0.0
110,34,2017-11-08 10:24:30,4ABCDE,0.0,0.0,1.0,0.0,0.0,0.2,0.4878048780487805,1.0,0.39999999999999997,0.2972972972972973
111,35,2017-11-08 10:39:34,4ABCDE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.4864864864864865
112,36,2017-11-08 10:45:15,4ABCDE,0.0,0.0,0.0,0.6,0.4,0.0,0.1951219512195122,0.0,0.02857142857142857,0.05405405405405406
113,37,2017-11-08 10:51:05,4ABCDE,0.0,0.0,0.0,1.0,0.0,0.0,0.07317073170731708,0.25,0.0,0.0
114,38,2017-11-08 10:55:05,4ABCDE,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.125,0.0,0.0
115,39,2017-11-08 10:57:15,4ABCDE,0.0,0.0,0.4,1.0,0.0,0.2,0.07317073170731708,0.0,0.0,0.0
116,40,2017-11-08 10:59:23,4ABCDE,0.0,1.0,0.4,1.0,0.0,0.0,0.14634146341463417,0.0,0.0,0.0
117,41,2017-11-08 11:07:50,4ABCDE,0.0,0.0,0.0,1.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0
